"","day","startName","endName","startX","startY","endX","endY","od"
"37074",5,"10号线五角场","8号线四平路",121.5100904,31.2997294,121.4969964,31.27682312,415
"37075",5,"10号线五角场","8号线延吉中路",121.5100904,31.2997294,121.530645,31.290732,107
"37076",5,"10号线五角场","8号线曲阳路",121.5100904,31.2997294,121.485791,31.2785073,155
"37077",5,"10号线五角场","8号线江浦路",121.5100904,31.2997294,121.5142018,31.2769665,229
"37078",5,"10号线五角场","8号线沈杜公路",121.5100904,31.2997294,121.5081714,31.0605003,125
"37079",5,"10号线五角场","8号线老西门",121.5100904,31.2997294,121.4785375,31.22078678,108
"37080",5,"10号线五角场","8号线虹口足球场",121.5100904,31.2997294,121.4749533,31.27188514,262
"37081",5,"10号线五角场","8号线鞍山新村",121.5100904,31.2997294,121.5048124,31.2749584,188
"37082",5,"10号线交通大学","10号线上海动物园",121.4306649,31.2041254,121.3634113,31.1920777,136
"37083",5,"10号线交通大学","10号线上海图书馆",121.4306649,31.2041254,121.4397098,31.21001651,182
"37084",5,"10号线交通大学","10号线五角场",121.4306649,31.2041254,121.5100904,31.2997294,179
"37085",5,"10号线交通大学","10号线交通大学",121.4306649,31.2041254,121.4306649,31.2041254,154
"37086",5,"10号线交通大学","10号线伊犁路",121.4306649,31.2041254,121.3994946,31.20060017,142
"37087",5,"10号线交通大学","10号线南京东路",121.4306649,31.2041254,121.4804801,31.23953637,260
"37088",5,"10号线交通大学","10号线同济大学",121.4306649,31.2041254,121.5020918,31.2844081,134
"37089",5,"10号线交通大学","10号线四川北路",121.4306649,31.2041254,121.479494,31.2537048,102
"37090",5,"10号线交通大学","10号线国权路",121.4306649,31.2041254,121.5056173,31.2912473,104
"37091",5,"10号线交通大学","10号线天潼路",121.4306649,31.2041254,121.4778324,31.2457632,152
"37092",5,"10号线交通大学","10号线新天地",121.4306649,31.2041254,121.4698192,31.218036,320
"37093",5,"10号线交通大学","10号线水城路",121.4306649,31.2041254,121.3876161,31.2012235,192
"37094",5,"10号线交通大学","10号线江湾体育场",121.4306649,31.2041254,121.5096602,31.30502845,175
